id,story_title,story_subtitle,country_code1,country_name,story_narrative,story_summary,story_biography,documenturl1,name,Politicians,Publico,Relacion,Tipo_relacion
1,Ex primer ministro de Irak,Ayad Allawi,IRQ,Irak,"Mossack Fonseca proporcionó testaferros a su sociedad panameña I.M.F. Holding, creada en 1985, para que fueran directores en lugar de Allawi, quien aparecía listado como accionista desde el año 2000. Hasta su disolución en 2013, I.M.F. tenía una propiedad en King upon Thames (Inglaterra), que en abril de ese año figuraba a nombre de Allawi, con valor estimado de 1,5 millones de dólares. Mediante su otra empresa offshore, Moonlight Estates Limited, Allawi también tenía una propiedad en Londres. Los documentos de esta entidad radicada en las Islas Vírgenes Británicas indican que los fondos provienen de ahorros personales.",Sociedades creadas en Panamá con propiedades en Londres,"Chií laico de familia acomodada, Ayad Allawi era miembro activo del Partido Baath que gobernó Irak hasta 1971. Entonces se afincó en Londres, donde creó conexiones con la Agencia Central de Inteligencia estadounidense y el M16 británico. En el exilio, se opuso a Saddam Hussein, ayudó a fundar un partido opositor y sobrevivió en 1978 a un intento de asesinato que se cree fue ordenado por Hussein. Al volver a Irak, fue nombrado primer ministro en 2004, después de que la coalición encabezada por Estados Unidos acabara con el régimen de Hussein. Allawi continúa en activo en la política iraquí. Fue vicepresidente desde 2014 hasta agosto de 2015.",https://www.documentcloud.org/documents/2771443-Allawi-Ayaddoc1.html,Ayad Allawi,"Vicepresidente de Irak (2014-2015), primer ministro interino de Irak (2004-2005)",Si,No,No
2,Presidente de Ucrania,Petro Poroshenko,UKR,Ucrania,"En agosto de 2014, cuando las tropas rusas penetraron en el Este de Ucrania, Poroshenko se convirtió en el único accionista de Prime Asset Partners, sociedad que Mossack Fonseca dio de alta en Islas Vírgenes Británicas. El bufete de abogados chipriota que representaba a esta sociedad la describió como ""holding de las sociedades en Chipre y Ucrania del Grupo Roshen, uno de los mayores fabricantes europeos de productos de confitería”. El bufete declaró que, aunque Prime Asset Partners se fundó para una ""persona implicada en política"", no tenía ""nada que ver con sus actividades políticas"". Durante su campaña presidencial en 2015, Poroshenko se comprometió a vender la mayor parte de sus activos, que fueron transferidos transfirió a Prime Assets Capital, según los medios de comuniación. En Octubre de 2014, el International Invest Bank, en el que Poroshenko tiene una posición mayoritaria, escribió una carta de referencias a Mossack Fonseca diciendo que sus cuentas habían sido ""llevadas de forma satisfactoria"" para ellos.",Sociedad offshore posee activos que incluyen un fabricante de confitería europeo,"Petro Poroshenko, el multimillonario ""rey del chocolate"" ucraniano con un imperio corporativo que incluye plantas de automoción, un astillero, un canal de televisión y la empresa confitera más grande del país, ganó las elecciones presidenciales de 2014 por una aplastante mayoría, un resultado ampliamente atribuido a su perspicacia política. Poroshenko ha cambiado hábilmente sus afiliaciones políticas en los últimos años y evitado que se le vincule con la larga lista de líderes y oligarcas ucranianos corruptos. A pesar de que se comprometió a oponerse a los oligarcas y ""evitar la influencia indebida de intereses privados en el estado"", sectores críticos siguen esperando que cumpla con sus palabras. Partidario de la Revolución Naranja pro-demócrata y pro-europea de 2004, Poroshenko también se ha posicionado como un nacionalista que podría lograr relaciones pacíficas con Rusia.",https://www.documentcloud.org/documents/2765536-Poroshenko-Petrodoc1.html,Petro Poroshenko,"Presidente (2014-en el cargo), ministro de Desarrollo Económico y Comercio (2012).",Si,No,No
3,Hijo del ex secretario general de la ONU,Kojo Annan,GHA,Ghana,"Kojo Annan era el único administrador de la sociedad samoana Sapphire Holding, originalmente constituida en Niue en 2003, mediante la cual adquirió un apartamento en el centro de Londres. La compra consistió en una transacción realizada en 2003 por más de 500.000 dólares, según los registros de Reino Unido. Sapphire Holding utilizó accionistas no identificados hasta el año 2015, cuando Kojo Annan comenzó a figurar como accionsita con domicilio en Ghana. Mossack Fonseca continuó escribiendo a Annan a la dirección del centro de Londres, Argyll Mansions, durante 2015. Kojo Annan era también accionista y director de dos sociedades en las Islas Vírgenes Británicas constituidas en 2002.",Sociedad offshore constituida para adquirir un apartamento en Londres de 500.000 dólares,"Kojo Annan es el único hijo del anterior secretario general de Naciones Unidas, Kofi Annan, quien estuvo en el cargo desde 1997 hasta 2006. La empresa suiza Cotecna contrató a Kojo Annan en 1995 para trabajar en Nigeria, pero a comienzos de 1998 dejó su puesto para convertirse en consultor de Cotecna. Meses más tarde, las Naciones Unidas otorgaron a la firma un contrato como parte del programa humanitario 'Oil-For-Food' desplegado en Irak, provocando acusaciones de irregularidades. Tanto el programa como Kojo Annan fueron objeto de una investigación independiente, cuyo informe emitido en 2005 no encontró ninguna prueba de que él tratara de influir o utilizar conexiones familiares para beneficiarse del programa. Kojo Annan y Cotecna han negado dichas acusaciones en repetidas ocasiones.",https://www.documentcloud.org/documents/2782973-Annan-Kojodoc1re.html,Kojo Annan,No,No,Hijo,Pariente
4,Exministro en el Gobierno de Francia,Jérôme Cahuzac,FRA,Francia,"Jérôme Cahuzac ha sido el dueño de una sociedad radicada en Seychelles, Cerman Group Limited, constituida en 2009 y vinculada a una cuenta bancaria. Otras dos compañías offshore actuaban como administradoras y accionistas de Cerman Group. Los documentos parecen indicar que se comunicó a Mossak Fonseca que el titular de la cuenta era Cahuzac cuando las autoridades francesas empezaron a investigarle por acusaciones de fraude fiscal en 2013. Cuando las autoridades de las Seychelles interrogaron a Mossack Fonseca sobre la cuenta, el despacho pidió más información sobre Cerman Group al bufete que había solicitado su creación originalmente, una petición que desveló la implicación de Cahuzac. El 3 de mayo de 2013, Mossack Fonseca dijo a las autoridades de las Seychelles que interrumpían su relación comercial con Cerman Group debido a su vinculación con el político francés, ya que se trataba de una ""persona políticamente expuesta"" de alto riesgo. Cerman Group fue inactivada en enero de 2015.",La sociedad offshore mantuvo una cuenta bancaria para un ministro acusado por fraude fiscal,"Las mentiras de Jérôme Cahuzac en 2013 provocaron una de las caídas más espectaculares de un cargo público en los anales de los escándalos franceses. Como ministro del Gobierno que lideraba una campaña contra la evasión de impuestos, Cahuzac se vio obligado a admitir que mintió al presidente François Hollande, a excolegas del Parlamento y al pueblo francés cuando negó repetidamente poseer cuentas bancarias en el extranjero. Dijo que había ocultado más de 750.000 dólares en una cuenta bancaria en Suiza durante 20 años hasta que trasladó el dinero a Singapur en 2009. Su exmujer dio a conocer una cuenta abierta en Gran Bretaña en 1997. Cahuzac, que hizo su fortuna como cirujano estético, renunció a su cartera como ministro y está a la espera de juicio por fraude fiscal.",https://www.documentcloud.org/documents/2777888-Cahuzac-Jeromedoc1.html,Jérôme Cahuzac,"Ministro del Tesoro en el Ministerio de Economía, Finanzas y Comercio Exterior (2012-2013); Diputado en la Asamblea Nacional de Francia (1997-2002 y 2007-2012)",Si,No,No
5,Member of British Parliament,Michael Mates,GBR,Reino Unido,"En su declaración de patrimonio como diputado, Mates figura como presidente de la sociedad Haylandale desde abril de 2005 hasta al menos abril de 2010, cuando renunció a su escaño por la circunscripción de East Hampshire. Creada en Bahamas en 2003 y disuelta en 2013, esta sociedad se constituyó para invertir en promociones inmobiliarias en el archipiélago caribeño. Michael Mates se convirtió en accionista minoritario de Haylandale en enero de 2005. Además, Haylandale tuvo cuatro filiales desde agosto 2007 a diciembre de 2008 que proporcionaron arrendamiento y otros servicios relacionados con propiedades de lujo en las Bahamas.",Las sociedades offshore para gestionar promociones inmobiliarias en el Caribe,"Michael Mates es un político del Partido Conservador británico que fue diputado desde 1974 hasta mayo de 2010, cuando decidió no presentarse para ser reelegido. Fue ministro en el Gobierno Regional de Irlanda del Norte de 1992 a 1993, pero renunció tras un revés a su reputación por su apoyo al polémico empresario Asil Nadir, acusado de delitos financieros. Durante la investigación, Mates envió a Nadir un reloj con una inscripción: ""No dejes que los bichos te derrumben."" Nadir fue condenado en agosto de 2012 por robar casi 46 millones de dólares, generando titulares mientras Mates hacía campaña para ser elegido comisario de policía de Hampshire. Mates perdió esas elecciones.",https://www.documentcloud.org/documents/2780926-Mates-Michaeldoc1.html,Michael Mates,Diputado del Parlamento Británico (1974-2010),Si,No,No
6,Hermana del anterior rey de España,Pilar de Borbón,ESP,España,"En agosto de 1974, Pilar de Borbón se convirtió en presidenta y administradora de la sociedad panameña Delantera Financiera SA. Los documentos de Mossack Fonseca revelaron que en la misma fecha su marido, Luis Gómez-Acebo, también asumió el papel de secretario-tesorero y administrador de la sociedad, originalmente constituida en mayo de 1969. Desde marzo de 1993, ninguno de ellos aparecía ni volvió a aparecer jamás como administrador. Desde ese año, el intermediario del beneficiario anónimo de la sociedad fue el bufete de abogados madrileño Gómez-Acebo & Pombo, fundado por Ignacio Gómez-Acebo, cuñado de Pilar de Borbón. Anteriormente el representante societario fue el londinense Timothy Lloyd. En 1993, Lloyd indicó que Pilar de Borbón era la dueña de Delantera Financiera SA. El hijo de Pilar de Borbón, Bruno Alejandro Gómez-Acebo Borbón, se convirtió en administrador y tesorero de la empresa desde julio de 2006 hasta su disolución en junio de 2014.",La implicación familiar con la sociedad offshore data de los años 1970,"Como hermana mayor del anterior rey de España, Juan Carlos I, Pilar de Borbón ha aprovechado su estatus como Infanta y Duquesa de Badajoz para recaudar fondos para causas sociales y financiar su afición de siempre por los caballos. Antigua amazona de caballos entrenados para cacerías de zorros, Pilar de Borbón dirigió la Federación Ecuestre Internacional y formó parte del Comité Olímpico Internacional, ayudando a bloquear los esfuerzos para eliminar la hípica de los Juegos Olímpicos de 2012. También ha gestionado inversiones empresariales de su familia, recaudado dinero para Nuevo Futuro (una organización benéfica para niños sin hogar) y presidido durante dos años la coalición Europa Nostra dedicada a la protección del patrimonio cultural de Europa.",https://www.documentcloud.org/documents/2765543-Borbon-Pilardoc2.html,Pilar de Borbón,No,No,Hermana,Pariente
7,Ex primer ministro de Georgia,Bidzina Ivanishvili,GEO,Georgia,"Bidzina Ivanishvili era propietario de Lynden Management, una sociedad radicada en las Islas Vírgenes Británicas. En 2011, la Agencia de Investigación Financiera del archipiélago solicitó a Mossack Fonseca información acerca de la propiedad y las actividades de la sociedad. La oficina de Singapur de Mossack Fonseca confirmó entonces que Ivanishvili era beneficiario de un fideicomiso constituido por Credit Suisse, y que la actividad de Lynden Management era la posesión de activos. Dos años más tarde, la sede de Mossack Fonseca en las Islas Vírgenes Británicas señaló a Ivanishvili como una persona políticamente expuesta y solicitó a su oficina en Singapur la documentación que acreditara la identidad de Ivanishvili y el origen de los fondos de Lynden Management. Singapur no pudo obtener dicha información y, posteriormente, preguntó si su cliente, Credit Suisse, podría en su lugar ""llevar a cabo una debida diligencia reducida"" sobre Lynden Management, ya que el banco era ""una compañía fideicomisaria regulada"" y poseía ""muchas sociedades con Mossack"".",Las autoridades de las Islas Vírgenes Británicas solicitaron información de la sociedad offshore,"Aunque se mantuvo como primer ministro apenas trece meses, el multimillonario Bidzina Ivanishvili dejó una marca indeleble en la historia de Georgia. Después de 20 años en Rusia, donde amasó una fortuna en las industrias metalúrgicas y bancarias, Ivanishvili regresó a Georgia en 2003 y llegó a ser conocido como un filántropo huraño y un coleccionista de obras de arte y animales exóticos. En 2011, transformó su creciente descontento con el gobierno en el activismo político, llevando finalmente una coalición llamada 'El sueño de Georgia' a obtener una sorprendente victoria en las elecciones parlamentarias de 2012 y convirtiéndose en primer ministro. Ivanishvili renunció voluntariamente después de que su partido ganara las elecciones presidenciales de 2013, pero continuó ejerciendo el poder entre bambalinas. En marzo de 2016, los abogados de Ivanishvili presentaron una querella ante la Fiscalía de Ginebra contra el Credit Suisse Group AG después de que Ivanishvili asegurara haber sido víctima de una fraude por parte de una antiguo empleado del Credit Suisse.",https://www.documentcloud.org/documents/2771505-Ivanishvili-Bidzinadoc1.html,Bidzina Ivanishvili,Primer ministro de Georgia (2012-2013),Si,No,No
8,Director de una empresa petrolera estatal,Bruno Jean-Richard Itoua,COG,Congo,"Bruno Jean-Richard Itoua tenía un poder notarial para representar dos sociedades offshore en 2004, mientras era asesor de energía del presidente de la República del Congo y director general de SNPC, la compañía petrolera estatal congoleña. Las sociedades Denvest Capital Strategies, radicada en las Islas Vírgenes Británicas, y Gräfin Associated SA, con sede en Panamá, habían emitido previamente acciones no registradas, que pertenecen al portador de los títulos físicos. Las dos sociedades quedaron inactivas en 2006 y 2007, respectivamente, según los registros de Mossack Fonseca.",Tuvo sociedades offshore cuando era titular de energía y trabajaba para la petrolera estatal,"Bruno Jean-Richard Itoua fraguó su carrera en la República del Congo mediante la estrecha relación de su familia con el presidente Denis Sassou-Nguesso, sirviendo primero como asesor de hidrocarburos del presidente, y llegando después al frente de la compañía nacional de petróleo (SNPC) en 1998. Itoua estuvo implicado en un desvío masivo de fondos de la compañía que salió a la luz en 2003. Dos años más tarde, una demanda de uno de los acreedores del Estado congoleño acusó a Itoua y SNPC de conspirar para ""desviar ingresos del petróleo ... a los bolsillos de poderosos funcionarios congoleños"". En 2007, después de que un tribunal federal de apelación de Estados Unidos dictaminara que los tribunales estadounidenses no tenían jurisdicción sobre la demanda contra la SNPC al tratarse de una agencia gubernamental, el acreedor no continuó con su demanda contra Itoua.",https://www.documentcloud.org/documents/2765588-Itoua-Brunodoc1.html,Bruno Jean-Richard Itoua,Ministro de Energía e Hidráulica (2005-2011),Si,No,No
9,Esposa del comisario europeo de Energía,Micaela Domecq Solís-Beaumont,ESP,España,"Micaela Domecq Solís-Beaumont estaba apoderada para aprobar operaciones de Rinconada Investments Group SA, una sociedad panameña constituida en 2005 que estaba vigente mientras su marido, Miguel Arias Cañete, ocupó cargos públicos en España y en la Unión Europea. Ella figuraba como firmante autorizado junto a miembros de su familia aristocrática española, los Domecq, de los cuales seis hermanos estaban también vinculados con Rinconada Investments Group. El Deutsche Bank de Ginebra y la empresa suiza de servicios financieros Gestrust SA ayudaron a los Domecq a crear Rinconada Investments Group con el apoyo de Mossack Fonseca. Mossack Fonseca inactivó la sociedad en enero de 2010.",La sociedad offshore permaneció activa mientras su marido ostentó cargos políticos,"Casarse con el político de carrera Miguel Arias Cañete ha sido beneficioso para los negocios de Micaela Domecq Solís-Beaumont, cuya familia cría toros de lidia para las corridas en España. Su marido, ahora comisario de Acción por el Clima de la Unión Europea, trabajó para el Comité de Agricultura del Parlamento Europeo durante muchos años, antes de convertirse en ministro de Agricultura de España en 2000 y nuevamente en 2011. Él alentó la ampliación de las ayudas europeas a la agricultura para que incluyeran la cría del toro. Durante su tiempo en el Ministerio, las operaciones de su esposa, gestionadas por sus dos hijos, Pablo y Juan Pedro, relacionadas con la ganadería de renombre mundial Jandilla, en la que comparte propiedad con sus hermanos, recibieron más de un millón de dólares en subsidios agrícolas. Sus otros negocios agrícolas, forestales y vinícolas también recibieron ayudas de la UE.",https://www.documentcloud.org/documents/2778431-Domecq-Micaeladoc1.html,Micaela Domecq Solís-Beaumont,No,No,Esposa,Pariente
10,Ex jefe de inteligencia de Ruanda,Emmanuel Ndahiro,RWA,Ruanda,"Emmanuel Ndahiro se convirtió en administrador de la sociedad Debden Investments, constituida en las Islas Vírgenes Británicas, en septiembre de 1998, el mismo año en que Ndahiro aparecía regularmente en la prensa internacional como portavoz del ejército ruandés. Según consta en los documentos, Debden era propietario de un jet privado. En el momento de su nombramiento, la dirección de Ndahiro era un edificio en una zona comercial en el oeste de Londres. Hatari Sekoko, un antiguo soldado del Frente Patriótico de Ruanda y ahora un importante ejecutivo, era el propietario de la sociedad, que quedó inactivada en 2010.",Administrador de la sociedad offshore propiedad de un compañero de armas,"El general de brigada Emmanuel Ndahiro es un hombre de confianza del presidente de Ruanda, Paul Kagame, que fue médico, asesor de seguridad y portavoz del presidente, además de portavoz militar cuando Kagame fue ministro de Defensa de 1994 a 2000. Ndahiro fue también responsable de los Servicios de Inteligencia y Seguridad Nacional de Ruanda de 2004 a 2011. En 2015, Kagame lo ascendió a general de brigada.",https://www.documentcloud.org/documents/2778397-Ndahiro-Emmanueldoc1.html,Emmanuel Ndahiro,"General de brigada (2015-presente), jefe de la Agencia de Inteligencia Ruandesa (2004-2011)",Si,No,No
